artist_name,album_name,release_date,songs_on_album,image_url
Mac Miller,Circles,2020-01-17,12,https://i.scdn.co/image/ab67616d0000485126b7dd89810cc1a40ada642c
Mac Miller,Swimming,2018-08-03,13,https://i.scdn.co/image/ab67616d00004851175c577a61aa13d4fb4b6534
Mac Miller,The Divine Feminine,2016-09-16,10,https://i.scdn.co/image/ab67616d000048512e92f776279eaf45d14a33fd
Mac Miller,The Divine Feminine,2016-09-16,10,https://i.scdn.co/image/ab67616d00004851a5677f2135d2de9502af2f2d
Mac Miller,Best Day Ever (5th Anniversary Remastered Edition),2016-06-03,16,https://i.scdn.co/image/ab67616d00004851caed626d0cb2f60220977db8
Mac Miller,GO:OD AM,2015-09-18,17,https://i.scdn.co/image/ab67616d00004851ee0f38410382a255e4fb15f4
Mac Miller,GO:OD AM,2015-09-18,17,https://i.scdn.co/image/ab67616d000048510726f121fedcce879439f390
Mac Miller,Live From Space,2013-12-17,14,https://i.scdn.co/image/ab67616d000048514052e974e7fc03fa49770986
Mac Miller,Watching Movies with the Sound Off (Deluxe Edition),2013-06-18,19,https://i.scdn.co/image/ab67616d00004851d4300bedba646965fa7e1953
Mac Miller,Watching Movies with the Sound Off,2013-06-18,16,https://i.scdn.co/image/ab67616d0000485199eb561d2e98f944fcc97d72
Mac Miller,Mac Miller : Live From London (With The Internet),2013-01-01,7,https://i.scdn.co/image/ab67616d00004851ab0d87c386e14bffa01aff0e
Mac Miller,Macadelic (Remastered Edition),2012-03-23,17,https://i.scdn.co/image/ab67616d00004851908afd2dae7320208da889fd
Mac Miller,Blue Slide Park (Commentary Version),2011-11-15,32,https://i.scdn.co/image/ab67616d0000485121315e2edf5f72c1c0ecdb82
Mac Miller,Blue Slide Park (Edited Version),2011-11-15,16,https://i.scdn.co/image/ab67616d000048515bd1d116671bd02778a158e7
Mac Miller,Blue Slide Park,2011-11-08,16,https://i.scdn.co/image/ab67616d0000485182a2fe856191e66bc0b9c6ce
Mac Miller,K.I.D.S. (Deluxe),2010-08-13,18,https://i.scdn.co/image/ab67616d00004851f47866de5d64eb87a4d02cea
Mac Miller,K.I.D.S.,2010-08-13,16,https://i.scdn.co/image/ab67616d0000485150570144b4a9a459406f9a3d
Omar Apollo,Ivory,2022-04-08,16,https://i.scdn.co/image/ab67616d000048518db3f1dd350847e57de4685d
Omar Apollo,Apolonio,2020-10-16,9,https://i.scdn.co/image/ab67616d0000485173f6df727a4167d26d7b7f45
Omar Apollo,Apolonio,2020-10-16,9,https://i.scdn.co/image/ab67616d00004851f7f42527ef84592ab0fb0eb1
Omar Apollo,Friends,2019-04-10,7,https://i.scdn.co/image/ab67616d0000485130a4346fc409e4e6e3ef37ec
Omar Apollo,Stereo,2018-05-30,7,https://i.scdn.co/image/ab67616d00004851819ce0908822c84b678555f4
Omar Apollo,Tamagotchi,2022-03-23,3,https://i.scdn.co/image/ab67616d00004851dcd9c59828fec0249498bc98
Omar Apollo,Killing Me,2022-03-11,2,https://i.scdn.co/image/ab67616d000048510c459a21874491366b18807e
Omar Apollo,Spotify Singles,2021-08-04,2,https://i.scdn.co/image/ab67616d0000485166ae5f951ac0f39ee0abce44
Omar Apollo,Stayback (feat. Bootsy Collins) [Remix],2020-08-21,2,https://i.scdn.co/image/ab67616d000048514f13b68f32fb524ba5724f98
Dijon,Absolutely,2021-11-05,12,https://i.scdn.co/image/ab67616d00004851a68442f97c3ad2dcba0beae6
Dijon,How Do You Feel About Getting Married?,2020-05-15,6,https://i.scdn.co/image/ab67616d00004851d060eda49373a6da42963a5f
Dijon,Sci Fi 1,2019-03-01,7,https://i.scdn.co/image/ab67616d000048516badb46153f9bb6d8491c54b
Dijon,Letter Blue (Remixes),2022-03-25,4,https://i.scdn.co/image/ab67616d000048510dd4827a9a9be8189900449d
Dijon,EPHEMERA,2020-10-30,8,https://i.scdn.co/image/ab67616d00004851b426fafff2e01d988495c215
Dijon,Absolutely,2021-11-05,12,https://i.scdn.co/image/ab67616d00004851a68442f97c3ad2dcba0beae6
Dijon,How Do You Feel About Getting Married?,2020-05-15,6,https://i.scdn.co/image/ab67616d00004851d060eda49373a6da42963a5f
Dijon,Sci Fi 1,2019-03-01,7,https://i.scdn.co/image/ab67616d000048516badb46153f9bb6d8491c54b
Dijon,Letter Blue (Remixes),2022-03-25,4,https://i.scdn.co/image/ab67616d000048510dd4827a9a9be8189900449d
Dijon,EPHEMERA,2020-10-30,8,https://i.scdn.co/image/ab67616d00004851b426fafff2e01d988495c215
Mac Miller,Faces,2021-10-15,25,https://i.scdn.co/image/ab67616d00004851e4251cf5331ad74eaaeca36e
Mac Miller,Circles (Deluxe),2020-03-19,14,https://i.scdn.co/image/ab67616d000048518cbe65eb023c2f2b5cdf5a91
Mac Miller,Circles,2020-01-17,12,https://i.scdn.co/image/ab67616d0000485126b7dd89810cc1a40ada642c
Mac Miller,Swimming,2018-08-03,13,https://i.scdn.co/image/ab67616d00004851175c577a61aa13d4fb4b6534
Mac Miller,The Divine Feminine,2016-09-16,10,https://i.scdn.co/image/ab67616d000048512e92f776279eaf45d14a33fd
Mac Miller,The Divine Feminine,2016-09-16,10,https://i.scdn.co/image/ab67616d00004851a5677f2135d2de9502af2f2d
Mac Miller,Best Day Ever (5th Anniversary Remastered Edition),2016-06-03,16,https://i.scdn.co/image/ab67616d00004851caed626d0cb2f60220977db8
Mac Miller,GO:OD AM,2015-09-18,17,https://i.scdn.co/image/ab67616d00004851ee0f38410382a255e4fb15f4
Mac Miller,GO:OD AM,2015-09-18,17,https://i.scdn.co/image/ab67616d000048510726f121fedcce879439f390
Mac Miller,Live From Space,2013-12-17,14,https://i.scdn.co/image/ab67616d000048514052e974e7fc03fa49770986
Mac Miller,Watching Movies with the Sound Off (Deluxe Edition),2013-06-18,19,https://i.scdn.co/image/ab67616d00004851d4300bedba646965fa7e1953
Mac Miller,Watching Movies with the Sound Off,2013-06-18,16,https://i.scdn.co/image/ab67616d0000485199eb561d2e98f944fcc97d72
Mac Miller,Mac Miller : Live From London (With The Internet),2013-01-01,7,https://i.scdn.co/image/ab67616d00004851ab0d87c386e14bffa01aff0e
Mac Miller,Macadelic (Remastered Edition),2012-03-23,17,https://i.scdn.co/image/ab67616d00004851908afd2dae7320208da889fd
Mac Miller,Blue Slide Park (Commentary Version),2011-11-15,32,https://i.scdn.co/image/ab67616d0000485121315e2edf5f72c1c0ecdb82
Mac Miller,Blue Slide Park (Edited Version),2011-11-15,16,https://i.scdn.co/image/ab67616d000048515bd1d116671bd02778a158e7
Mac Miller,Blue Slide Park,2011-11-08,16,https://i.scdn.co/image/ab67616d0000485182a2fe856191e66bc0b9c6ce
Mac Miller,K.I.D.S. (Deluxe),2010-08-13,18,https://i.scdn.co/image/ab67616d00004851f47866de5d64eb87a4d02cea
Mac Miller,K.I.D.S.,2010-08-13,16,https://i.scdn.co/image/ab67616d0000485150570144b4a9a459406f9a3d
Omar Apollo,Ivory,2022-04-08,16,https://i.scdn.co/image/ab67616d000048518db3f1dd350847e57de4685d
Omar Apollo,Apolonio,2020-10-16,9,https://i.scdn.co/image/ab67616d0000485173f6df727a4167d26d7b7f45
Omar Apollo,Apolonio,2020-10-16,9,https://i.scdn.co/image/ab67616d00004851f7f42527ef84592ab0fb0eb1
Omar Apollo,Friends,2019-04-10,7,https://i.scdn.co/image/ab67616d0000485130a4346fc409e4e6e3ef37ec
Omar Apollo,Stereo,2018-05-30,7,https://i.scdn.co/image/ab67616d00004851819ce0908822c84b678555f4
Omar Apollo,Tamagotchi,2022-03-23,3,https://i.scdn.co/image/ab67616d00004851dcd9c59828fec0249498bc98
Omar Apollo,Killing Me,2022-03-11,2,https://i.scdn.co/image/ab67616d000048510c459a21874491366b18807e
Omar Apollo,Spotify Singles,2021-08-04,2,https://i.scdn.co/image/ab67616d0000485166ae5f951ac0f39ee0abce44
Omar Apollo,Stayback (feat. Bootsy Collins) [Remix],2020-08-21,2,https://i.scdn.co/image/ab67616d000048514f13b68f32fb524ba5724f98
Frank Ocean,Blonde,2016-08-20,17,https://i.scdn.co/image/ab67616d00004851c5649add07ed3720be9d5526
Frank Ocean,channel ORANGE,2012-07-10,17,https://i.scdn.co/image/ab67616d000048517aede4855f6d0d738012e2e5
Frank Ocean,Glad Musik,2019-04-12,100,https://i.scdn.co/image/ab67616d0000485101531c1ce6b8b17788dcc683
Frank Ocean,Dem Du Gør Rent Til,2019-04-12,100,https://i.scdn.co/image/ab67616d00004851017092831fd2a6782d28731a
Dijon,Absolutely,2021-11-05,12,https://i.scdn.co/image/ab67616d00004851a68442f97c3ad2dcba0beae6
Dijon,How Do You Feel About Getting Married?,2020-05-15,6,https://i.scdn.co/image/ab67616d00004851d060eda49373a6da42963a5f
Dijon,Sci Fi 1,2019-03-01,7,https://i.scdn.co/image/ab67616d000048516badb46153f9bb6d8491c54b
Dijon,Letter Blue (Remixes),2022-03-25,4,https://i.scdn.co/image/ab67616d000048510dd4827a9a9be8189900449d
Dijon,EPHEMERA,2020-10-30,8,https://i.scdn.co/image/ab67616d00004851b426fafff2e01d988495c215
Dijon,Absolutely,2021-11-05,12,https://i.scdn.co/image/ab67616d00004851a68442f97c3ad2dcba0beae6
Dijon,How Do You Feel About Getting Married?,2020-05-15,6,https://i.scdn.co/image/ab67616d00004851d060eda49373a6da42963a5f
